company_name,date,country,revenue,industry,data volume,Data Type - None,Data Type - Databases,Data Type - Applications,Data Type - Emails,Data Type - Source Code,Data Type - Business Information,Data Type - Designs,Data Type - Financial Information,Data Type - Research Information,Data Type - Employee Information,Data Type - Customer Information,Data Type - Company Information,Data Type - Backup Systems Information,Data Type - Supply Systems Information,Data Type - Business Deals Information,Data Type - Manufacturing Information,Data Type - Personal Information,Data Type - Government Information,Data Type - Medical Information
Сoquitlam Concrete,2024-07-04,US,5000000,Construction,10503796713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordano's Inc.,2024-04-13,US,229000000,Food & Beverage,64075330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DataBank,2024-04-04,US,278000000,Data Centers & IT,1616692922393,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Circle K Atlanta,2024-06-19,US,74000000,Retail & Convenience Stores,55587440197,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sun Holdings,2024-03-18,US,1400000000,Food & Beverage,33978367941,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
Caxton and CTP Publishers and Printers,2024-04-13,ZA,380000000,Printing & Publishing,146940103,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
RAVEN Mechanical,2024-06-07,US,144000000,Mechanical Services,22430870,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Bojangles’ International,2024-04-13,US,270600000,Food & Beverage,294824014841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hanon Systems,2024-08-11,KR,7200000000,Automotive,2328211621559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benchmark Management Group,2024-02-11,US,23700000,Real Estate & Management,512372938257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lancaster County Sheriff's Office,2024-02-11,US,5800000,Government,36576725082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"City of St. Cloud, Florida",2024-04-16,US,57000000,Government,1369991746233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jangho Group,2024-08-03,CN,2800000000,Construction,1245301593241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SuperDrob S.A.,2024-08-16,PL,250000000,Food & Beverage,443770055203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DiVal Safety Equipment, Inc.",2024-03-05,US,62000000,Safety Equipment,45828017490,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Kaplan,2024-03-16,US,9400000,Education,13941242820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast Rehabilitation Hospital Network,2024-07-19,US,80000000,Healthcare,239642,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ducont,2024-02-17,US,55300000,Technology,Undisclosed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R.C. Moore Trucking,2024-01-23,US,53800000,Logistics & Transportation,608439720830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hibser Yamauchi Architects,2024-05-08,US,16000000,Architecture,305484919375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rocky Mountain Sales,2024-04-26,US,5000000,Sales & Distribution,301061169238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Project M.O.R.E.,2024-05-08,US,7100000,Non-Profit,23144806187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harper Industries,2024-06-11,US,20700000,Manufacturing,474604617065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOYA Corporation,2024-07-16,JP,5600000000,Healthcare,6065188,0,2,0,0,0,4,1,0,3,2,0,0,0,0,0,0,0,0,1
Pella,2024-05-10,US,3800000000,Manufacturing,339386434587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acteon Group,2024-06-17,FR,200000000,Medical Devices,1774222,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Frederick Wildman and Sons,2024-05-10,US,22000000,Wine & Spirits Distribution,129975636930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carigali Hess Operating Company,2024-07-14,MY,30000000,Energy & Utilities,Undisclosed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibbs Hurley Chartered Accountants,2024-07-15,AU,5100000,Accounting Services,Undisclosed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navitas Semiconductor,2024-08-30,IE,100000000,Semiconductors,110941688159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legrand CRM,2024-06-15,AU,7000000,CRM Software,157147358880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLARK Material Handling Company,2024-03-26,US,50000000,Manufacturing & Machinery,28915027269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson Oil & Gas,2024-08-07,US,,Energy & Oil,164893952510,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
Sting AD,2024-03-20,BG,350000000,Advertising,668707060,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Schuster Trucking Company,2024-03-16,US,68900000,Logistics & Transportation,161049892740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priefert,2024-07-29,US,240000000,Agriculture,3926335471,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Communication Federal Credit Union,2024-02-14,US,49300000,Financial Services,77918453672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kreyenhop & Kluge,2024-03-16,DE,7100000,Food & Beverage Distribution,438921792130,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NanoLumens,2024-04-13,US,18000000,Technology & Displays,133624735648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T A Khoury,2024-04-09,AU,5000000,Real Estate,63703104570,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sindicato de Enfermería (SATSE),2024-03-16,ES,40700000,Healthcare,179034548090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGL,2024-03-19,CN,,Energy,Undisclosed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benetton Group,2024-04-04,IT,1300000000,Fashion,33770496,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jack Doheny Company,2024-04-14,US,67000000,Industrial Services,572709436357,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Aftrp,2024-02-17,FR,16000000,Education & Non-Profit,653842424983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSI,2024-02-17,US,584000000,Technology Services,88039724371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intersport,2024-04-04,FR,3400000000,Retail,40068019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chicony Electronics,2024-05-01,TW,3300000000,Electronics,4822435231,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,1,0,0,0
Khandelwal Laboratories Pvt,2024-08-03,IN,537000000,Pharmaceuticals,126461379471,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Ferraro Group,2024-08-19,IT,17500000,Public Relations,210018922035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miki Travel,2024-03-16,GB,592400000,Travel & Tourism,31185023278,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0
Dalmahoy Hotel & Country Club,2024-02-11,GB,13000000,Hospitality,949441048681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seamon Whiteside,2024-07-19,US,18000000,Architecture & Planning,82653664016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Concrete,2024-06-12,CA,5000000,Construction,Undisclosed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omni Family Health,2024-08-07,US,23300000,Healthcare,102794686367,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1
Interface,2024-04-04,US,1300000000,Flooring & Interiors,18090372,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Manuchar,2024-05-29,BE,2800000000,Logistics & Trade,289582709911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallup McKinley County Schools,2024-01-18,US,72000000,Education,Undisclosed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akkanat Holding,2024-08-20,TR,,Holding Company,623853980322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS Ultrasonic Technology Group,2024-07-15,DE,257000000,Manufacturing,46513430,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Avianor Aircraft,2024-02-11,CA,21500000,Aerospace,849693334338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WheelerShip,2024-07-02,US,5000000,Automotive Parts,9541332474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya Urban Roads Authority,2024-07-14,KE,5000000,Government,18411039076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Betances Health Center,2024-07-24,US,5000000,Healthcare,124654451546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Johns River Water Management District,2024-03-08,US,135500000,Government,292708680897,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Groupe Goyette,2024-02-11,CA,25800000,Construction,238582615277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aero Tec Laboratories,2024-05-14,US,53000000,Manufacturing,315889707386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concello de Teo,2024-02-16,ES,43600000,Government,65368856937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Griffin Dewatering,2024-03-06,US,32000000,Industrial Services,68744114832,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gunning & LaFazia, Inc.",2024-01-04,US,5000000,Legal Services,23199595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSI,2024-03-19,ES,,Technology,Undisclosed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Impact Energy Services,2024-02-11,CA,12000000,Electrical Services,32096875268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sysmex,2024-03-29,JP,3000000000,Medical Technology,1755992845,0,1,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0
Fractalia Group,2024-08-06,ES,100000000,Technology,153039434568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exela Technologies,2024-04-03,US,1100000000,Technology & Outsourcing,275288115173,1,0,0,0,0,3,0,2,0,1,1,1,0,0,0,0,0,1,0
Treasury of Cote d'Ivoire,2024-05-13,CI,392000000,Government,Undisclosed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Therapeutic Health Services,2024-03-20,US,17600000,Healthcare,32836744,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
BeneCare Dental Insurance,2024-04-04,US,35200000,Insurance,72229,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Richelieu Foods,2024-05-08,US,303000000,Food & Beverage Manufacturing,18322025,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
Physical & Occupational Therapy Examiners of Texas,2024-07-25,US,5000000,Government,139139484816,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ComNet Communications,2024-07-15,US,300000000,Communications & IT,106126256,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
MRI,2024-06-16,US,25000000,Real Estate,15455121755,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Toyota Brazil,2024-04-13,BR,1700000000,Automotive,651565440,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Tiete Automobile,2024-03-16,BR,26200000,Automotive,7949357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSS Australia,2024-04-26,AU,17000000,Healthcare & Supplies,67073823449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kleven Construction,2024-07-31,US,13900000,Construction,143170354,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Greater Napanee,2024-02-17,CA,53100000,Government,82905379629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thorite Group,2024-03-16,GB,69700000,Industrial Equipment,307195436980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indika Energy,2024-07-10,ID,3000000000,Energy,Undisclosed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cosmocolor,2024-05-30,MX,68800000,Technology,114818026100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braum's Inc,2024-07-16,US,3000000000,Food & Beverage,1076741228,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Thermosash Commercial Ltd,2024-01-04,NZ,70000000,Construction & Design,1772547130397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notions Marketing,2024-04-13,US,250000000,Retail & Distribution,91077125,0,1,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0
Voice Technologies,2024-02-17,GB,5000000,Technology,Undisclosed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crownlea Group,2024-07-29,GB,89000000,Industrial Equipment,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NetOne,2024-08-13,ZW,123700000,Telecommunications,98397388547,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ACE Air Cargo,2024-03-09,US,23800000,Logistics & Transportation,250352742317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IJM Corporation,2024-02-24,MY,985900000,Construction,Undisclosed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ausa,2024-03-16,US,70000000,Industrial Automation,376375503876,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Innovative Automation,2024-01-25,US,24600000,Technology & Automation,30230415363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Axip Energy Services,2024-06-07,US,100000000,Energy,3866200,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
Crimson Interactive,2024-08-23,US,50000000,Translation & Localization,511097071270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nastech,2024-02-17,AE,6300000,Technology,25142950160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Village of Skokie,2024-03-16,US,16500000,Government,865398833253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lantronix Inc.,2024-07-16,US,150000000,Technology,51232359835,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
BS&B Safety Systems L.L.C,2024-02-17,,68500000,Safety Systems,5328061978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP Communications,2024-02-17,US,22500000,Broadcasting & Communications,63294294116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formosa Plastics USA,2024-05-17,US,1200000000,Chemicals & Plastics,141913569,0,0,0,0,0,1,1,2,3,0,0,0,0,1,1,0,0,0,0
Panzeri Cattaneo,2024-03-20,IT,,Manufacturing,Undisclosed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENEA Italy,2024-08-02,IT,500000000,Government,219889003442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrabawn Co-op,2024-05-29,IE,69000000,Agriculture & Co-op,385153616882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRN,2024-08-03,US,50000000,Education & Ethics,745073075997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citi Trends,2024-04-04,US,742000000,Retail,520650494148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Trent,2024-01-25,GB,27000000,Automotive Recycling,59462215180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Gill Corporation,2024-07-29,US,272000000,Aerospace,33767054,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Multisuns Communication,2024-07-04,TW,,Technology,5138857962,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACS,2024-02-17,US,,Technology & Services,Undisclosed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Rosa,2024-07-19,AR,60000000,Government,258444456146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradford Health,2024-01-04,US,110000000,Healthcare,679091506902,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1
Kablutronik SRL,2024-04-13,RO,20000000,Cabling & Electronics,79129044494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Power Systems and Services,2024-04-25,US,71000000,Industrial Services,1323909136295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beaver Run Resort,2024-04-04,US,38600000,Hospitality & Resorts,35188383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casco Antiguo,2024-08-06,ES,10400000,Real Estate & Historic Preservation,Undisclosed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treasury of Cote d'Ivoire,2024-08-28,CI,392000000,Government,Undisclosed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
